cost,mass,drag,design
125.7,31.9,0.514,D1747
41.8,61.9,0.307,D1748
120.1,22.0,0.683,D1749
36.3,79.3,0.159,D1750
77.0,69.3,0.307,D1751
31.4,75.5,0.281,D1752
106.4,50.7,0.353,D1753
108.5,38.7,0.576,D1754
70.5,60.2,0.357,D1755
51.9,61.0,0.436,D1756
40.9,55.3,0.415,D1757
118.9,39.1,0.573,D1758
118.4,31.4,0.614,D1759
98.8,32.3,0.506,D1760
68.3,64.3,0.248,D1761
87.5,69.0,0.286,D1762
106.5,63.2,0.329,D1763
116.3,53.0,0.332,D1764
53.4,69.4,0.351,D1765
88.4,41.6,0.429,D1766
92.6,79.2,0.294,D1767
70.8,73.6,0.189,D1768
44.2,53.6,0.367,D1769
106.4,24.4,0.552,D1770
89.6,50.4,0.465,D1771
110.5,43.1,0.467,D1772
86.9,29.3,0.561,D1773
76.3,79.9,0.249,D1774
97.1,69.5,0.365,D1775
128.8,30.6,0.534,D1776
59.5,68.2,0.286,D1777
114.3,54.4,0.298,D1778
73.1,44.2,0.395,D1779
113.0,22.8,0.578,D1780
46.1,27.2,0.637,D1781
72.6,77.5,0.145,D1782
81.2,23.6,0.563,D1783
77.1,45.8,0.406,D1784
66.0,42.8,0.389,D1785
107.9,54.2,0.395,D1786
86.1,53.3,0.499,D1787
79.2,54.1,0.336,D1788
99.0,25.7,0.68,D1789
91.7,66.1,0.357,D1790
51.1,58.1,0.294,D1791
113.3,28.0,0.522,D1792
53.7,52.2,0.332,D1793
83.3,45.5,0.556,D1794
104.9,55.1,0.433,D1795
35.8,42.1,0.442,D1796
116.1,27.8,0.68,D1797
62.0,72.4,0.327,D1798
108.2,20.2,0.572,D1799
72.6,64.3,0.313,D1800
100.6,74.4,0.207,D1801
118.3,51.7,0.327,D1802
44.4,42.1,0.467,D1803
46.5,74.0,0.207,D1804
119.2,33.1,0.539,D1805
71.2,66.0,0.278,D1806
53.7,70.2,0.304,D1807
71.7,34.3,0.463,D1808
114.5,45.1,0.528,D1809
84.6,67.6,0.344,D1810
98.0,35.4,0.513,D1811
73.0,79.8,0.159,D1812
115.5,35.4,0.561,D1813
125.7,20.1,0.695,D1814
97.0,74.3,0.318,D1815
95.9,28.8,0.552,D1816
106.8,60.6,0.346,D1817
45.0,24.3,0.629,D1818
108.9,56.6,0.348,D1819
39.3,32.6,0.579,D1820
72.6,52.2,0.317,D1821
95.1,47.6,0.347,D1822
99.1,67.2,0.219,D1823
84.8,71.5,0.266,D1824
121.8,27.4,0.506,D1825
57.9,66.0,0.263,D1826
129.2,24.0,0.616,D1827
73.6,68.7,0.319,D1828
101.9,56.4,0.309,D1829
98.4,63.2,0.372,D1830
90.9,45.4,0.389,D1831
112.9,46.1,0.545,D1832
72.8,49.0,0.403,D1833
79.3,78.0,0.159,D1834
90.2,37.7,0.436,D1835
19.3,79.6,0.169,D1836
92.8,67.0,0.326,D1837
64.7,60.2,0.433,D1838
72.0,73.5,0.321,D1839
100.0,61.8,0.428,D1840
74.0,75.2,0.154,D1841
119.4,27.1,0.571,D1842
88.8,61.6,0.374,D1843
78.8,25.3,0.539,D1844
111.5,30.7,0.653,D1845
110.4,38.1,0.54,D1846
42.9,56.3,0.309,D1847
108.4,36.7,0.535,D1848
115.0,33.2,0.463,D1849
44.2,70.3,0.363,D1850
112.6,25.1,0.631,D1851
91.2,30.4,0.621,D1852
111.7,52.0,0.425,D1853
137.2,20.2,0.72,D1854
102.5,70.9,0.278,D1855
114.5,49.8,0.4,D1856
108.9,22.6,0.537,D1857
88.4,55.4,0.298,D1858
121.4,29.0,0.525,D1859
78.0,66.5,0.299,D1860
104.6,65.5,0.321,D1861
119.4,40.8,0.51,D1862
116.6,25.5,0.561,D1863
126.9,38.3,0.595,D1864
52.5,35.0,0.484,D1865
15.6,63.5,0.27,D1866
112.7,25.8,0.621,D1867
91.5,48.3,0.496,D1868
70.6,62.9,0.39,D1869
77.5,37.8,0.539,D1870
82.5,20.3,0.669,D1871
119.6,26.4,0.616,D1872
88.5,50.6,0.508,D1873
53.4,31.1,0.483,D1874
84.2,71.7,0.27,D1875
37.7,50.2,0.346,D1876
57.3,38.2,0.584,D1877
84.0,79.1,0.203,D1878
68.6,41.8,0.403,D1879
79.2,56.2,0.41,D1880
123.4,42.7,0.397,D1881
125.9,30.5,0.536,D1882
49.4,62.6,0.407,D1883
62.7,54.8,0.294,D1884
117.0,28.7,0.547,D1885
95.9,47.7,0.497,D1886
49.8,32.6,0.495,D1887
68.3,71.0,0.36,D1888
130.7,31.2,0.507,D1889
70.0,55.4,0.451,D1890
109.8,22.2,0.67,D1891
103.6,42.7,0.487,D1892
77.0,38.0,0.532,D1893
87.2,40.5,0.425,D1894
113.0,51.0,0.49,D1895
114.0,24.4,0.524,D1896
67.1,42.2,0.418,D1897
62.5,75.0,0.141,D1898
38.9,62.7,0.376,D1899
87.7,24.5,0.584,D1900
112.3,36.6,0.527,D1901
70.3,73.6,0.271,D1902
83.0,43.6,0.398,D1903
121.6,31.4,0.487,D1904
70.5,59.8,0.357,D1905
26.4,54.9,0.436,D1906
117.4,32.3,0.473,D1907
92.6,32.7,0.646,D1908
110.3,38.4,0.577,D1909
115.8,22.5,0.575,D1910
54.1,75.0,0.265,D1911
49.5,70.8,0.247,D1912
117.4,53.2,0.303,D1913
76.7,60.3,0.335,D1914
117.5,25.6,0.511,D1915
45.0,58.3,0.307,D1916
98.8,67.4,0.22,D1917
37.4,60.1,0.389,D1918
120.2,41.0,0.398,D1919
103.0,55.9,0.472,D1920
94.7,20.6,0.557,D1921
119.9,41.2,0.406,D1922
31.4,58.3,0.335,D1923
101.8,56.5,0.322,D1924
102.2,43.7,0.506,D1925
77.5,38.2,0.447,D1926
60.5,44.2,0.491,D1927
108.9,31.4,0.542,D1928
97.4,33.1,0.576,D1929
94.4,25.9,0.642,D1930
67.5,41.2,0.545,D1931
53.7,53.0,0.421,D1932
87.4,26.8,0.58,D1933
72.9,43.0,0.406,D1934
66.4,75.2,0.138,D1935
99.0,45.0,0.532,D1936
109.6,47.1,0.398,D1937
104.3,69.2,0.358,D1938
53.6,43.6,0.467,D1939
85.4,33.4,0.515,D1940
43.1,77.4,0.3,D1941
95.9,54.4,0.49,D1942
80.2,65.7,0.214,D1943
97.5,31.5,0.481,D1944
102.5,63.9,0.292,D1945
43.0,67.9,0.261,D1946
104.2,56.3,0.422,D1947
78.9,77.7,0.165,D1948
108.4,57.5,0.408,D1949
137.8,22.0,0.589,D1950
93.6,67.3,0.245,D1951
74.3,71.5,0.359,D1952
130.2,32.6,0.531,D1953
86.2,49.1,0.504,D1954
97.9,37.6,0.544,D1955
104.6,56.4,0.463,D1956
109.2,64.8,0.392,D1957
46.3,54.9,0.293,D1958
66.3,58.5,0.399,D1959
97.5,70.3,0.227,D1960
75.7,66.3,0.245,D1961
132.6,21.9,0.611,D1962
49.2,36.9,0.592,D1963
122.1,45.6,0.405,D1964
63.3,70.4,0.211,D1965
115.3,38.6,0.46,D1966
125.9,33.2,0.639,D1967
66.7,79.8,0.248,D1968
109.6,52.6,0.5,D1969
107.1,46.2,0.365,D1970
49.0,72.0,0.348,D1971
41.2,44.6,0.455,D1972
78.8,22.0,0.707,D1973
95.7,73.1,0.211,D1974
95.2,78.5,0.271,D1975
83.8,42.5,0.481,D1976
115.6,50.0,0.41,D1977
51.8,39.5,0.446,D1978
89.7,48.6,0.374,D1979
43.9,58.0,0.313,D1980
98.7,54.1,0.468,D1981
52.4,78.3,0.282,D1982
96.4,40.9,0.435,D1983
108.0,31.1,0.538,D1984
38.5,60.1,0.37,D1985
88.7,70.6,0.28,D1986
90.9,35.1,0.541,D1987
88.6,46.3,0.406,D1988
52.6,67.7,0.387,D1989
97.6,56.2,0.313,D1990
69.1,76.5,0.319,D1991
33.5,70.5,0.215,D1992
128.2,33.6,0.602,D1993
136.0,22.8,0.532,D1994
95.8,45.9,0.544,D1995
93.3,21.2,0.715,D1996
97.0,50.9,0.444,D1997
124.6,35.7,0.482,D1998
118.7,51.1,0.324,D1999
